Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,GELADEIRA 5 (ESTOQUE 4ºC),,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),LOCAL,VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃODO PRODUTO,OBSERVAÇÃO 
ESTOQUE CONFORTAVEL,435694,Dimethyloctadecyl [3-(trimethoxysilyl)propyl]ammonium cloride solution - Reagente/membrana filtrante/projeto COVID Grazi Paulino ,Sigma,,ENTRADA,,,2,Geladeira 1 - Prateleira 2,False,,
ESTOQUE CONFORTAVEL,D-3525,Diosmim,Sigma,5 G,ENTRADA,,,1,Geladeira 12 de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,1610611,Dithiothreitol (DTT),17-1318-02,,ENTRADA,,,1,Geladeira 12 de cultivo - Compartimento 1,True,2025-04-01 00:00:00,
ESTOQUE CONFORTAVEL,D-0017,DMEM ,Cultilab,"10,5 G/L",ENTRADA,,3 pcts,,Geladeira de cultivo - Prateleira 4,False,,
ESTOQUE CONFORTAVEL,12800-058,DMEM em pó,Vitrocell,"13,65G/L",ENTRADA,,84 pcts,,Geladeira de cultivo - Prateleira 2,False,,
ESTOQUE CONFORTAVEL,SH30022-02,DMEM líquido,Cytiva,500 mL,ENTRADA,,1,,Geladeira de cultivo - Prateleira 3,False,,
ESTOQUE CONFORTAVEL,-,DNAse- Kit MM nucleospin RNA em pó,,,ENTRADA,,1,0,Geladeira 12 de cultivo - Prateleira 1- Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,D9779,DTT,Sigma,5G,ENTRADA,2019-10-03 00:00:00,,1,Geladeira 12 de cultivo - Compartimento 1,True,2025-03-10 00:00:00,
ESTOQUE CONFORTAVEL,3483-12-03 00:00:00,DTT,Sigma/Merck,,ENTRADA,,0,1,Geladeira 12 de cultivo - Compartimento 1,True,2025-04-01 00:00:00,
ESTOQUE CONFORTAVEL,161-0611,DTT,Biorad,,ENTRADA,,1,,Geladeira de cultivo - Compartimento 1,False,,
ESTOQUE CONFORTAVEL,Invitrogen,Dynebeads M-280 Tosylactivated,14203,,ENTRADA,,,1,Geladeira 1 - Prateleira 1 - porta,False,,
ESTOQUE CONFORTAVEL,,DEAE SEPHAROSE,SIGMA,,ENTRADA,,1,0,Geladeira 4-LBM3,False,,
ESTOQUE CONFORTAVEL,Sigma,"3`, 5` - Dimetoxi ",Sigma,1g,ENTRADA,,0,1,Geladeira 1(5) - Prateleira 1 (Porta),True,2025-03-07 00:00:00,Prof. Luciano. 
ESTOQUE CONFORTAVEL,56498,Dulbecccos modified Eagles medium/ham´s Nutrient,Sigma,10L,,,2,,Geladeira 12 de cultivo -  Prateleira 2,True,2025-04-04 00:00:00,
E,,,,,,,,,,False,,
ESTOQUE CONFORTAVEL,Sigma,Elastase,E1250,,ENTRADA,,1,,Geladeira 1 - Prateleira 2 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,E9765,Endostelial celular,Sigma,10 mL,ENTRADA,,,,Geladeira de cultivo - Prateleira 3- Porta,False,,
ESTOQUE BAIXO,Sigma,Enrofloxacina,17849,,ENTRADA,,0,1,Geladeira 1 - Prateleira 1 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,,Ensaio imunoenzimático visceral Leshmaniose canina kit ,Biomanguinhos,384 reações,ENTRADA,,1,,Geladeira de cultivo - Prateleira 3,False,,
ESTOQUE CONFORTAVEL,56501,Estreptomicina,Sigma,100 G,ENTRADA,,0,1,Geladeira 1 - Prateleira 1 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,R-biopharma,Etanol kit,,,ENTRADA,,,1,Geladeira 1 - Prateleira 4,False,,
ESTOQUE CONFORTAVEL,2299990110,Euroimunum fitas,Euroimunum,,ENTRADA,,,1,Geladeira de cultivo - Prateleira 3,False,,
ESTOQUE CONFORTAVEL,E0774,Erythromucin,Sigma,5g,,,0,1,Geladeira 1(5) - Prateleira 1 (Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,24610C,Ex-Cell 610-HSF Hybridoma Serum,Sigma,"15,8 G/L",ENTRADA,,5 pcts,,Geladeira 12 de cultivo - gaveta,True,2025-04-07 00:00:00,
ESTOQUE CONFORTAVEL,P4682,Fenol solution,Sigma,100 ml,ENTRADA,,,1,Geladeira 1 - Prateleira 1,False,,
ESTOQUE MODERADO,15513-039,Fenol - Ultrapure Phenol buffer saturated,Invitrogen,,ENTRADA,,,1,Geladeira 1 - Prateleira 1,False,,
ESTOQUE CONFORTAVEL,P4557,Fenol solution,Sigma,400 ml,ENTRADA,,,1,Geladeira 1 - Prateleira 2,False,,
,FC09272SO,FENOLIN CIOCALTEU FENOL 2M,EXODO,100ML ,,,0,1,Geladeira 12 de cultivo - Prateleira 1 - Porta,True,2025-04-03 00:00:00,
ESTOQUE MODERADO,F1043.08.BJ,Fenol líquido 90%,Synth,,ENTRADA,,,1,Geladeira 1 - Prateleira 2,False,,
ESTOQUE BAIXO,,Fenol equilibrado (Tris-HCl) pH alcalino para DNA,pht,,ENTRADA,,,1 (acabando),Geladeira 1 - Prateleira 2,False,,
